Austin Powers - The Spy Who Shagged Me;['Action', 'Comedy'];['Mike Myers'];Austin_Powers_-_The_Spy_Who_Shagged_Me;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Austin_Powers_-_The_Spy_Who_Shagged_Me.txt
Authors Anonymous;['Comedy'];['David Congalton'];Authors_Anonymous;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Authors_Anonymous.txt
Autumn in New York;['Romance', 'Drama'];['Allison Burnett'];Autumn_in_New_York;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Autumn_in_New_York.txt
Avatar;['Action', 'Adventure', 'Sci-Fi'];['James Cameron'];Avatar;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Avatar.txt
Avengers, The;['Action', 'Adventure'];['Don Macpherson'];Avengers;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Avengers.txt
Avengers, The (2012);['Action', 'Adventure', 'Sci-Fi'];['Joss Whedon'];Avengers;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Avengers.txt
Avventura, L' (The Adventure);['Drama', 'Mystery', 'Thriller'];['Michelangelo Antonioni', 'Elio Bartolini', 'Tonino Guerra'];Avventura;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Avventura.txt
Awakenings;['Drama'];['Steven Zaillian'];Awakenings;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Awakenings.txt
Babel;['Drama', 'Thriller'];['Guillermo Arriaga'];Babel;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Babel.txt
Bachelor Party;['Comedy'];['Neal Israel', 'Pat Proft', 'Bob Israel'];Bachelor_Party;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Bachelor_Party.txt
Bachelor Party, The;['Drama'];['Paddy Chayefsky'];Bachelor_Party;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Bachelor_Party.txt
Back-up Plan, The;['Comedy', 'Romance'];['Kate Angelo'];Back-up_Plan;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Back-up_Plan.txt
Backdraft;['Action', 'Drama', 'Mystery', 'Thriller'];['Gregory Widen'];Backdraft;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Backdraft.txt
Bad Boys;['Action', 'Comedy'];['Michael Barrie', 'Jim Mulholland', 'Doug Richardson'];Bad_Boys;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Bad_Boys.txt
Bad Country;['Action', 'Crime', 'Drama'];['Jonathan Hirschbein'];Bad_Country;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Bad_Country.txt
Bad Day at Black Rock;['Drama', 'Thriller', 'Western'];['Don McGuire', 'Millard Kaufman', 'Howard Breslin'];Bad_Day_at_Black_Rock;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Bad_Day_at_Black_Rock.txt
Bad Dreams;['Horror', 'Thriller'];['Andrew Fleming', 'Steven E. de Souza'];Bad_Dreams;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Bad_Dreams.txt
